,Landing page,Sessions,Users,New users,Average engagement time per session,Key eventsAll eventsAll eventsarrow_drop_down,Total revenue
112,/product/google-baby-stan-stuffie-ggoegfdh219499,20,19,17,14s,30,$0.00
113,/product/google-canyonlands-sweatshirt-ggoegxxx2219,20,18,3,7s,22,$0.00
114,/product/google-cloud-heather-grey-polo-ggoecxxx1894,20,16,13,6s,27,$0.00
115,/product/google-indigo-polo-shirt-ggoegxxx1899,20,19,17,11s,27,$0.00
116,/product/google-retro-classic-sunglasses-ggoegcgb197999,20,19,18,32s,26,$0.00
117,/product/youtube-kids-character-sticker-sheet-ggoeycka182799,20,18,16,4s,25,$0.00
118,/Collections,19,18,16,1s,0,$0.00
119,/Eco+Friendly,19,18,13,0s,0,$0.00
120,/product/chrome-dino-glow-in-the-dark-sticker-ggoegoka212399,19,17,15,44s,45,$0.00
121,/product/google-bike-socks-ggoegakc171799,19,18,15,8s,23,$0.00
122,/product/google-classic-black-lanyard-ggoegcbb208599,19,17,14,26s,28,$0.00
123,/product/google-crewneck-sweatshirt-black-ggoegxxx1737,19,15,11,9s,27,$0.00
124,/product/google-pen-red-ggoegoar124299,19,19,17,10s,7,$0.00
125,/product/google-recycled-canvas-tote-ggoegbjk208399,19,18,15,5s,19,$0.00
126,/store.html,19,14,7,4s,2,$0.00
127,/product/android-caf-mug-ggoeadwb223299,18,17,14,11s,23,$0.00
128,/product/chrome-dino-glow-in-the-dark-unisex-tee-ggoegxxx2075,18,15,7,12s,23,$0.00
129,/product/chrome-dino-recycled-backpack-ggoegbrb212599,18,15,12,10s,48,$0.00
130,/product/google-bike-eco-tee-ggoegxxx1718,18,15,10,8s,19,$0.00
131,/product/google-new-york-city-journal-ggoegocb206599,18,9,1,5s,23,$0.00
132,/product/google-recycled-memo-notebook-set-ggoegolb178999,18,16,12,7s,21,$0.00
133,/product/google-sherpa-black-zip-hoodie-ggoegxxx1998,18,6,2,4s,32,$0.00
134,/product/youtube-black-zip-hoodie-ggoeyxxx1801,18,14,12,8s,29,$0.00
135,/shipping-information,18,8,1,12s,0,$0.00
136,/shop-by-brand/gfiber,18,15,7,0s,0,$0.00
137,/shop/collections/kid-approved,18,16,8,4s,0,$0.00
138,/product/chrome-dino-keychain-ggoegcba195199,17,15,12,12s,16,$0.00
139,/product/for-everyone-lanyard-ggoegcba195399,17,13,10,4s,18,$0.00
140,/product/g25gle-birthday-mug-ggoegdwq223899,17,12,10,4s,22,$0.00
141,/product/google-crimson-tumbler-ggoegdnr208299,17,15,10,20s,24,$0.00
142,/product/google-inspired-yellow-notebook-ggoegoct190999,17,5,0,6s,21,$0.00
143,/product/hello-android-black-tee-ggoeaxxx2268,17,10,2,3s,18,$0.00
144,/shop/greeting-cards,17,17,17,3s,2,$0.00
145,/product/google-nomad-tech-bag-ggoegblj211999,16,15,10,16s,21,$0.00
146,/product/google-utensil-set-ggoegcbc166599,16,12,7,11s,20,$0.00
147,/Google+Redesign/Stationery,15,13,3,34s,2,$0.00
148,/canada/account,15,6,1,1s,0,$0.00
149,/product/chrome-dino-floating-pen-ggoegoah216799,15,12,10,7s,19,$0.00
150,/product/google-horizon-navy-fleece-womens-jacket-ggoegxxx2030,15,14,10,3s,14,$0.00
151,/product/google-mouse-pad-navy-ggoegabl100799,15,14,14,9s,16,$0.00
152,/product/google-vintage-washed-russet-sweatshirt-ggoegxxx2039,15,11,6,11s,61,$0.00
153,/product/google-vintage-washed-shadow-hoodie-ggoegxxx1890,15,13,9,3s,18,$0.00
154,/product/youtube-iconic-play-pin-ggoeycbr138999,15,15,12,18s,25,$0.00
155,/sensorykit,15,15,11,0s,31,$0.00
156,/shop/apparel/socks,15,11,5,5s,0,$0.00
157,/canada/product/new/chrome-dino-hit-the-slopes-sweater-ggcngxxx2244,14,13,10,6s,18,$0.00
158,/product/android-domed-lapel-pin-ggoeacbh217799,14,10,8,5s,15,$0.00
159,/product/google-doogler-mewgler-variety-pack-ggcogoba211699,14,14,13,19s,22,$0.00
160,/product/google-horizon-navy-fleece-unisex-jacket-ggoegxxx2029,14,10,3,3s,16,$0.00
161,/product/super-g-eco-bucket-hat-ggoeghpb211899,14,11,4,11s,28,$0.00
162,/product/super-g-eco-polo-shirt-ggoegxxx1900,14,10,7,8s,17,$0.00
163,/shop/collections/super-g,14,9,3,7s,0,$0.00
164,/Campus+Collection/New,13,13,10,0s,0,$0.00
165,/product/android-chroma-bottle-ggoeadhb219699,13,11,9,4s,15,$0.00
166,/product/chrome-dino-camp-shirt-ggoegxxx2003,13,12,3,22s,21,$0.00
167,/product/chrome-dino-light-up-water-bottle-ggoegdhb163199,13,9,6,6s,23,$0.00
168,/product/google-bike-floating-pen-ggoegoat216999,13,6,3,7s,15,$0.00
169,/product/google-fluffy-dog-plush-ggoegknq171499,13,12,10,4s,14,$0.00
170,/product/google-kai-blue-sweatshirt-ggoegxxx2128,13,13,8,12s,19,$0.00
171,/product/google-maps-pin-patch-ggoegcba198699,13,11,9,6s,14,$0.00
172,/product/google-maps-pin-tee-ggoemxxx1641,13,10,8,4s,15,$0.00
173,/product/google-recycled-drawstring-bag-ggoegbba175499,13,9,5,5s,13,$0.00
174,/product/google-vail-unisex-grey-puffer-jacket-ggoegxxx2052,13,9,8,6s,15,$0.00
175,/product/google-wood-cube-puzzle-ggoegcba186199,13,13,11,13s,17,$0.00
176,/product/super-g-eco-belt-bag-ggoegbpb212499,13,12,7,3s,13,$0.00
177,/apparel/accessories,12,7,5,0s,0,$0.00
178,/cookie-policy,12,9,4,1m 10s,0,$0.00
179,/gpsmap,12,7,6,2s,0,$0.00
180,/product/google-denali-unisex-puffer-vest-ggoegxxx2226,12,11,6,6s,17,$0.00
181,/product/google-elephant-baby-blanket-ggoegcbj178099,12,10,9,14s,23,$0.00
182,/product/google-marine-layer-afternoon-hoodie-ggoegxxx2154,12,8,4,3s,12,$0.00
183,/product/google-seafoam-straw-tumbler-ggoegdnh210599,12,8,2,9s,15,$0.00
184,/product/google-strap-hat-black-ggoeghpb120910,12,10,6,28s,23,$0.00
185,/product/google-voyager-bottle-ggoegdhb187799,12,9,4,20s,25,$0.00
186,/product/youtube-icon-patch-ggoeycba198999,12,8,8,22s,18,$0.00
187,/product/youtube-ultralight-embroidered-sweatshirt-ggoeyxxx1734,12,7,3,3s,17,$0.00
188,/shop/collections/doogler,12,6,1,2s,0,$0.00
189,/product/chrome-dino-ultralight-sweatshirt-ggoegxxx1952,11,10,7,9s,20,$0.00
190,/product/emoji-outdoors-nalgene-bottle-ggoegdha209599,11,10,6,8s,11,$0.00
191,/product/google-black-classic-youth-tee-ggoegxxx1965,11,9,7,8s,13,$0.00
192,/product/google-koa-french-terry-zip-ggoegxxx2127,11,8,1,1s,12,$0.00
193,/product/google-new-york-city-icon-mug-ggoegdwb208199,11,8,4,6s,15,$0.00
194,/product/google-sea-glass-bottle-ggoegdhh170499,11,11,8,6s,13,$0.00
195,/product/google-soft-frisbee-red-ggoegknr166699,11,8,7,9s,9,$0.00
196,/product/google-wooden-yo-yo-ggoegcbd165799,11,11,8,21s,18,$0.00
197,/product/super-g-ultralight-sweatshirt-ggoegxxx1706,11,9,2,36s,20,$0.00
198,/product/youtube-marled-black-tee-ggoeyxxx2046,11,5,2,0s,12,$0.00
199,/shop,11,11,8,3s,0,$0.00
200,/collections/lunar-new-year,10,10,8,0s,0,$0.00
201,/product/doogler-cookie-jar-ggoegpbq187699,10,10,5,6s,14,$0.00
202,/product/google-cloud-patch-ggoeccba198599,10,10,7,4s,12,$0.00
203,/product/google-large-standard-journal-grey-ggoegocj093999,10,9,4,12s,17,$0.00
204,/product/google-memegen-patch-ggoegcba174099,10,9,8,8s,9,$0.00
205,/product/youtube-expressive-socks-ggoeyaxa197410,10,7,4,7s,12,$0.00
206,/canada/shop/new,9,4,0,8s,0,$0.00
207,/product/android-iconic-sticker-sheet-ggoeafkq130699,9,9,9,8s,12,$0.00
208,/product/chrome-dino-glow-in-the-dark-toddler-tee-ggoegxxx1959,9,6,4,5s,15,$0.00
209,/product/google-city-black-tote-backpack-ggoegbrb222399,9,8,3,7s,17,$0.00
210,/product/google-eco-friendly-blue-duffel-ggoegbmc177699,9,9,6,9s,15,$0.00
211,/product/google-full-of-pride-cap-ggoeghpk214899,9,9,5,10s,14,$0.00
212,/product/google-large-wave-tumbler-ggoegdnl210699,9,7,5,5s,9,$0.00
213,/product/google-medium-pet-collar-blue-green-ggoegcba139599,9,9,8,5s,13,$0.00
214,/product/google-shoreline-water-bottle-ggoecdhq163999,9,9,3,12s,11,$0.00
215,/product/google-tricyle-toddler-tee-ggoegxxx1719,9,8,7,12s,12,$0.00
216,/product/super-g-washed-cap-ggoegapb171210,9,5,4,10s,21,$0.00
217,/product/super-g-zion-eco-beanie-ggoeghpe221610,9,9,1,0s,23,$0.00
218,/product/android-pocket-tee-green-ggoeaxxx1296,8,7,6,9s,10,$0.00
219,/product/google-doogler-baja-dog-collar-ggoegxxx2027,8,8,6,1s,8,$0.00
220,/product/google-doogler-toddler-tee-ggoegxxx2079,8,7,2,2s,6,$0.00
221,/product/google-eco-wood-magnet-ggoegoba202099,8,8,7,5s,9,$0.00
222,/product/google-gradient-yellow-sunglasses-ggoeghga174499,8,3,3,1s,8,$0.00
223,/product/google-land-sea-nalgene-water-bottle-ggoegdhg162299,8,7,5,10s,10,$0.00
224,/product/google-recycled-everyday-black-tote-ggoegbjb227199,8,8,3,5s,12,$0.00
225,/product/google-speckled-mug-ggoegdwj178299,8,7,5,6s,7,$0.00
226,/product/google-unisex-expedition-half-zip-ggoegxxx1895,8,4,2,1m 28s,9,$0.00
227,/product/google-unisex-jogger-ggoegxxx1765,8,6,3,10s,7,$0.00
228,/product/super-g-eco-wood-zipper-pull-ggoeccbq220999,8,6,1,8s,11,$0.00
229,/shop/android,8,8,8,10s,0,$0.00
230,/canada/checkout,7,4,0,3s,0,$0.00
231,/canada/shop/lifestyle/stationery,7,6,0,0s,0,$0.00
232,/product/familia-mens-tee-ggcogxxx2242,7,4,0,0s,0,$0.00
233,/product/google-bike-enamel-pin-ggoegcba207399,7,6,3,20s,11,$0.00
234,/product/google-bike-ultralight-sweatshirt-ggoegxxx1813,7,6,4,14s,10,$0.00
235,/product/google-checkered-shoelaces-white-ggoegcba186299,7,6,3,6s,8,$0.00
236,/product/google-classic-sticker-sheet-ggoegfka201499,7,7,6,3s,7,$0.00
237,/product/google-etched-tumbler-sand-ggoegdhk184899,7,6,1,16s,10,$0.00
238,/product/google-gray-toddler-zip-hoodie-ggoegxxx1649,7,6,4,30s,18,$0.00
239,/product/google-inspired-red-notebook-ggoegocr191099,7,5,4,0s,7,$0.00
240,/product/google-leather-strap-hat-black-ggoeghpb120910,7,7,7,4s,0,$0.00
241,/product/google-pen-neon-coral-ggoegoan123899,7,6,5,18s,11,$0.00
242,/product/google-recycled-laptop-sleeve-ggoegobb185199,7,6,4,12s,9,$0.00
243,/product/google-sunglasses-ggoeghgc019799,7,7,5,22s,32,$0.00
244,/product/google-sustainable-pha-pen-ggoegoaa183099,7,6,4,8s,24,$0.00
245,/product/google-unisex-puffer-vest-ggoegxxx1766,7,7,6,10s,8,$0.00
246,/product/iamremarkable-unisex-hoodie-ggcogxxx1008,7,6,6,4s,0,$0.00
247,/product/noogler-cap-eco-wood-magnet-ggoegoba219099,7,6,5,9s,22,$0.00
248,/product/super-g-tahoe-unisex-black-puffer-vest-ggoegxxx2053,7,7,4,12s,11,$0.00
249,/product/youtube-far-out-tie-dye-sweatshirt-ggoeyxxx2043,7,5,3,2s,11,$0.00
250,/product/youtube-icon-mug-ggoeydwb210799,7,3,0,6s,13,$0.00
251,/shop/communities/agn,7,6,3,5s,0,$0.00
252,/shop/small-goods,7,6,6,5s,0,$0.00
253,/shop/stationery/writing-instruments,7,5,1,19s,0,$0.00
254,/WomenTechmakers,6,6,2,0s,0,$0.00
255,/lifestyle/fun-and-games,6,4,4,0s,0,$0.00
256,/product/chrome-dino-enamel-pin-ggoegcbb203299,6,6,5,8s,7,$0.00
257,/product/chrome-dino-hit-the-slopes-socks-ggoegcxc220410,6,6,4,19s,9,$0.00
258,/product/chrome-dino-rope-lanyard-ggoegobb211299,6,6,3,12s,18,$0.00
259,/product/google-bike-cap-ggoeghpc182610,6,4,3,8s,5,$0.00
260,/product/google-bike-travel-bottle-ggoegdhc171699,6,6,4,20s,8,$0.00
261,/product/google-cloud-large-executive-journal-ggoecolj199399,6,5,4,14s,6,$0.00
262,/product/google-igloo-recycled-cooler-tote-ggoegbjb210899,6,5,3,13s,13,$0.00
263,/product/google-mountain-view-campus-socks-ggoegcxh216699,6,5,4,4s,5,$0.00
264,/product/google-ombre-purple-pen-ggoegoaa172199,6,5,3,4s,9,$0.00
265,/product/google-pride-pen-ggoegoab214499,6,4,4,5s,7,$0.00
266,/product/google-recycled-navy-journal-ggoegolc187099,6,4,0,3s,10,$0.00
267,/product/google-recycled-organic-heather-forest-tee-ggoegxxx2040,6,3,1,2s,12,$0.00
268,/product/google-thank-you-thank-you-greeting-card-ggcogcba196699,6,6,6,5s,2,$0.00
269,/product/super-g-beach-mat-blanket-ggoegoya202199,6,6,3,27s,9,$0.00
270,/shop/writing-instruments,6,6,4,10s,0,$0.00
271,/sustainability,6,5,1,9s,2,$0.00
272,/Google+Global+5K+Run+Unisex+Tee,5,2,2,0s,0,$0.00
273,/Google+Redesign/Lifestyle/Drinkware,5,4,3,0s,0,$0.00
274,/canada/privacy-policy,5,5,0,18s,0,$0.00
275,/canada/shop/apparel/womens,5,5,4,8s,0,$0.00
276,/canada/shop/lifestyle/everything-else,5,5,0,0s,0,$0.00
277,/product/chrome-dino-eco-wood-zipper-pull-ggoegcbb220899,5,5,4,12s,42,$0.00
278,/product/chrome-dino-patch-ggoegcba173999,5,4,4,24s,6,$0.00
279,/product/cloud-enamel-pin-ggoeccba179199,5,5,4,20s,7,$0.00
280,/product/google-beachcomber-full-zip-windbreaker-ggoegxxx1886,5,3,2,0s,7,$0.00
281,/product/google-campus-puzzle-ggcogcba170199,5,5,5,5s,6,$0.00
282,/product/google-classic-white-toddler-tee-ggoegxxx1961,5,5,4,17s,6,$0.00
283,/product/google-cloud-pen-ggoecoaq163799,5,5,5,1s,5,$0.00
284,/product/google-doogler-patch-ggoegcba199099,5,5,3,5s,6,$0.00
285,/product/google-garment-washed-acadia-tee-ggoegxxx2221,5,5,1,12s,5,$0.00
286,/product/google-green-canvas-pouch-ggoegbbh186999,5,2,1,0s,4,$0.00
287,/product/google-patch-ggoegcba168999,5,4,3,5s,0,$0.00
288,/product/google-pen-grass-green-ggoegoah124099,5,5,3,5s,0,$0.00
289,/product/google-sherpa-pale-grey-zip-hoodie-ggoegxxx1997,5,4,1,45s,7,$0.00
290,/product/google-two-tone-jade-mug-ggoegdwq185599,5,5,2,45s,9,$0.00
291,/product/stan-and-friends-tee-green-ggoegxxx1267,5,5,3,8s,5,$0.00
292,/product/super-g-large-executive-journal-ggoegolb199499,5,4,3,5s,5,$0.00
293,/product/super-g-tahoe-womens-black-puffer-vest-ggoegxxx2054,5,4,3,22s,6,$0.00
294,/product/youtube-icon-windbreaker-ggoeyxxx2218,5,4,2,17s,6,$0.00
295,/shop/communities/sensory-kit,5,5,0,7s,0,$0.00
296,/shop/communities/women-techmakers,5,5,2,0s,0,$0.00
297,/signin.html,5,5,5,13s,0,$0.00
298,/Google+Redesign/Apparel,4,4,0,10s,0,$0.00
299,/HOLA,4,2,2,0s,0,$0.00
300,/canada/product/new/google-bamboo-lid-recycled-bottle-ggcngdhj101699,4,4,1,14s,4,$0.00
301,/canada/product/new/google-cloud-wheat-pen-ggcncoaj100999,4,3,3,0s,4,$0.00
302,/canada/shop/shop-by-brand/google,4,3,0,37s,4,$0.00
303,/product/android-eco-wood-magnet-ggoeaobh217699,4,1,1,0s,3,$0.00
304,/product/android-pocket-toddler-tee-white-ggoeaxxx1298,4,3,2,6s,5,$0.00
305,/product/chrome-dino-marine-layer-tee-ggoegaeb119413,4,4,3,5s,4,$0.00
306,/product/google-beekeepers-onesie-pink-ggoegxxx1273,4,4,3,3s,5,$0.00
307,/product/google-bike-pennant-ggoegcba200499,4,4,2,2s,5,$0.00
308,/product/google-cloud-eco-wood-magnet-ggoecoba218999,4,4,2,1s,3,$0.00
309,/product/google-glass-tumbler-ggoegdnb209999,4,4,3,16s,4,$0.00
310,/product/google-greeting-card-variety-pack-ggcogoba211799,4,1,0,0s,4,$0.00
311,/product/google-land-sea-sock-ggoegaka181110,4,4,2,12s,5,$0.00
312,/product/google-large-pet-leash-red-yellow-ggoegcba150799,4,4,4,1s,4,$0.00
313,/product/google-magnet-ggoegcba105099,4,4,4,20s,7,$0.00
314,/product/google-maps-wheat-pen-ggoegoab177399,4,4,3,12s,11,$0.00
315,/product/google-marled-midnight-tee-ggoegxxx2045,4,4,2,23s,5,$0.00
316,/product/google-miir-20l-backpack-ggoegbrb197799,4,3,2,6s,2,$0.00
317,/product/google-out-of-this-world-socks-ggoegcxb216599,4,4,2,30s,10,$0.00
318,/product/google-pen-white-ggoegoaq101299,4,4,4,0s,0,$0.00
319,/product/google-speckled-grey-tee-ggoegxxx1888,4,2,0,1s,5,$0.00
320,/product/google-vintage-cap-navy-ggoegapc167099,4,2,1,17s,4,$0.00
321,/product/mewgler-at-work-greeting-card-ggcogcba196299,4,4,1,9s,7,$0.00
322,/product/super-g-enamel-pin-ggoegcba184099,4,4,3,40s,5,$0.00
323,/product/super-g-glacier-womens-puffer-jacket-ggoegxxx2229,4,4,3,14s,7,$0.00
324,/product/youtube-black-le-pen-ggoeyoab200699,4,3,1,45s,18,$0.00
325,/product/youtube-floating-pen-ggoeyoab216899,4,3,0,0s,4,$0.00
326,/product/youtube-traveller-tumbler-ggoeydnb210999,4,4,3,18s,4,$0.00
327,/shop/stationery/greeting-cards,4,3,2,1s,0,$0.00
328,/Campus+Collection/View+All,3,3,2,0s,0,$0.00
329,/Doogler+Mewgler,3,3,2,0s,0,$0.00
330,/Google Redesign/Shop by Brand/YouTube,3,3,3,0s,0,$0.00
331,/Google+Redesign/Apparel/Mens,3,3,2,3s,0,$0.00
332,/Google+Redesign/Google+Inspired+Red+Notebook,3,2,2,0s,2,$0.00
333,/Pride,3,3,2,0s,0,$0.00
334,/Shop/Google+Redesign/Stationery,3,1,0,1s,0,$0.00
335,/Super+G,3,3,3,0s,0,$0.00
336,/_next/static/chunks,3,3,3,0s,0,$0.00
337,/canada/fr/shop/new,3,2,0,0s,0,$0.00
338,/canada/frequently-asked-questions,3,1,1,0s,0,$0.00
339,/canada/product/new/google-cloud-camp-mug-gray-ggcncdwj101599,3,1,0,0s,3,$0.00
340,/canada/product/new/google-eco-classic-tee-ggcngxxx1027,3,3,2,21s,6,$0.00
341,/canada/product/new/google-midnight-crewneck-sweatshirt-ggcngxxx1037,3,1,0,0s,4,$0.00
342,/canada/search,3,2,1,3s,0,$0.00
343,/canada/shop/lifestyle/bags,3,2,0,2s,0,$0.00
344,/canada/shop/lifestyle/drinkware,3,3,1,8s,0,$0.00
345,/canada/shop/shop/shop-by-brand,3,3,1,0s,0,$0.00
346,/privacy-policy,3,3,2,0s,0,$0.00
347,/product/chrome-dino-hit-the-slopes-scarf-ggoegcbc220610,3,2,1,9s,8,$0.00
348,/product/doogler-thanks-dawg-greeting-card-ggcogcba196499,3,3,2,6s,3,$0.00
